DEPTH,GR_EDTC,NPHI,AT10,AT20,AT30,AT60,AT90,RHOM,CMFF,TCMR,CMRP_3MS
6176.772,38.111897,0.011433327,296.23367,300.88187,708.14215,1950.0,1571.2605,2.680024,0.023320477,4.1782217,0.03482357
6177.534,36.71623,0.005313016,318.46878,249.79974,771.9598,857.98804,375.49475,2.6858106,0.011483293,4.8290896,0.030722806
6178.296,35.87082,0.006284063,146.31978,111.025085,171.93431,362.82297,254.33374,2.6965501,0.009840663,6.0054793,0.040301368
6179.058,37.490635,0.006454928,151.087,130.32004,180.51111,380.77957,206.59435,2.6697986,0.013078964,3.0281923,0.030270917
6179.82,42.67505,0.0060624066,170.99464,190.56339,304.18878,577.6336,251.67696,2.6780472,0.011764345,4.0690093,0.030940382
6180.582,34.49674,0.006037873,265.34378,264.72055,417.5716,1213.4429,352.34857,2.6333957,0.013595703,5.1684284,0.01607184
6181.344,39.255844,0.0059523783,303.21075,325.23874,562.40485,1260.3905,524.42487,2.6908383,1.621639e-05,3.047822,0.00020655565
6182.106,32.60077,0.010403534,124.31988,134.77342,188.59628,319.93042,204.50195,2.6420891,0.017401148,5.102242,0.032502964
6182.868,21.510004,0.014406954,104.281685,95.15728,100.12144,104.54474,91.067314,2.5651243,0.0688672,10.279095,0.06935125
6183.63,18.721767,0.03353947,39.825558,36.76916,39.180218,41.504456,39.040253,2.5526352,0.059839867,11.881273,0.06945561
6184.392,24.456858,0.028056493,68.507614,67.62927,77.708244,91.10851,80.15518,2.6134174,0.0338325,8.791254,0.060254086
6185.154,26.992416,0.044926405,63.711647,63.55258,73.42371,112.01755,93.07523,2.5555956,0.039569683,4.6523314,0.044923566
6185.916,19.76782,0.03830353,61.269375,54.81747,61.260414,76.3862,67.56069,2.5416732,0.04529003,11.744378,0.052001763
6186.678,32.79928,0.069746345,47.51722,41.896725,45.6745,47.42495,44.68869,2.5558143,0.109663844,10.967209,0.109667934
6187.44,27.506697,0.04296039,33.14693,26.003115,26.366306,27.484941,26.504417,2.5635748,0.064006664,9.892088,0.064025566
6188.202,33.619427,0.0376416,59.6333,45.185524,48.888763,52.246117,47.63939,2.5735524,0.04966632,5.9489274,0.05948512
6188.964,40.5471,0.017020207,77.89911,63.63228,73.13522,71.96163,61.354256,2.5978038,0.033112284,5.0816326,0.048193827
6189.726,26.697845,0.013133582,57.486526,45.124493,49.424706,55.0487,47.00973,2.6860487,0.013014488,3.0537982,0.026906632
6190.4883,37.33385,0.012233272,56.524845,46.695904,50.41383,54.1333,45.228306,2.639891,0.043627366,7.125563,0.04363146
6191.25,43.19659,0.008865013,97.64644,74.382355,74.982994,71.97256,57.964138,2.63856,0.03735886,6.145824,0.03737683
6192.012,37.82317,0.014963067,134.73152,110.83962,114.33543,90.49938,72.73333,2.675399,0.012486119,1.3921658,0.013333527
6192.774,33.410637,0.014323084,101.00543,107.81416,123.04649,126.18342,119.529785,2.7038653,0.0014547729,2.9333901,0.017445585
6193.536,30.042097,0.027877187,19.786,16.145433,18.57673,23.382294,21.573692,2.594282,0.041495126,5.589704,0.042082887
6194.298,32.39362,0.016142778,32.310387,29.891909,37.510864,47.67617,38.285473,2.6359222,0.04456794,5.178121,0.04952696
6195.06,32.326694,0.019782158,207.47643,146.88036,188.66466,194.52802,126.385,2.614196,0.028833985,5.045539,0.03366229
6195.8223,30.970123,0.019898996,97.30599,90.2769,105.327385,118.932434,78.760414,2.628533,0.029148819,7.697937,0.029361553
6196.584,43.815014,0.008310017,138.12517,111.39008,146.91058,260.77347,134.3265,2.6564484,0.050140895,6.6103897,0.05014499
6197.346,36.07111,0.0110555785,248.70102,277.36307,454.2113,1115.1558,304.0203,2.6744125,0.017725652,2.4877636,0.024270207
6198.108,35.260746,0.012233284,204.6551,214.27856,396.84628,1840.394,435.91428,2.628659,0.026195103,4.9210267,0.029279929
6198.87,36.263203,0.0069403164,255.97452,295.0878,602.3907,1410.0144,500.9171,2.7089963,0.020976769,2.6562328,0.026530163
6199.632,35.255947,0.0064107594,165.10886,170.0522,339.8312,1286.1755,398.41852,2.681745,0.022342829,4.2735395,0.038991418
6200.394,32.408165,0.007090708,232.61523,251.45001,346.34128,525.27747,267.5232,2.6443572,0.018055096,1.8079823,0.018069722
6201.1562,33.822193,0.013512837,98.679634,94.29995,116.54934,126.93554,105.30315,2.6199007,0.0836866,8.385694,0.0836907
6201.918,33.008953,0.02089895,47.43873,43.165375,50.447357,83.63274,71.00336,2.5877585,0.0465413,10.100169,0.048798017
6202.68,29.55366,0.006339307,193.8932,141.9301,185.63486,183.62973,139.75789,2.6472006,0.013376195,5.573826,0.032328263
6203.442,32.39478,0.00816507,146.42043,162.79747,259.31952,466.61346,266.10974,2.6257195,0.024029931,2.6467526,0.026448708
6204.204,28.118673,0.014322814,155.96179,149.43234,251.68152,626.4481,230.61087,2.6438403,0.027454216,4.0593905,0.040589742
6204.966,42.922413,0.00091932324,342.47687,266.2232,532.46344,1586.7924,382.1698,2.6887925,0.0044624885,3.9017115,0.0331779
6205.728,45.398182,0.0016447745,292.99692,211.2919,443.9708,1950.0,1133.7452,2.7289972,0.05014272,6.305465,0.05018887
