DEPTH,GR,NPHI,AT10,AT30,AT90,CMFF,CMRP_3MS,TCMR
5433.06,10.45857,-0.007865883,1950.0,1950.0,45.821224,0.00044677308,0.0025198571,1.7882377
5433.2124,10.420947,-0.008479247,1950.0,1950.0,44.69867,0.0004468675,0.0025203896,1.7886155
5433.3647,10.849111,-0.009251832,1950.0,1950.0,46.341255,0.0004468675,0.0025203896,1.7886155
5433.517,11.744377,-0.010131292,1950.0,1950.0,53.84705,0.00044667878,0.0025193251,1.7878602
5433.6694,11.509381,-0.010659944,1950.0,1950.0,60.23481,0.00044667878,0.0025193251,1.7878602
5433.8223,11.161328,-0.011120592,1950.0,1950.0,49.87643,0.00044677308,0.0025198571,1.7882377
5433.9746,10.768692,-0.01180925,1950.0,1950.0,40.81453,0.00044677308,0.0025198571,1.7882377
5434.127,11.558742,-0.012510626,1950.0,1950.0,41.871807,0.00044677308,0.0025198571,1.7882377
5434.2793,11.546199,-0.01308861,1950.0,1950.0,58.84788,0.00044677308,0.0025198571,1.7882377
5434.4316,11.196855,-0.013326767,1950.0,1950.0,75.45357,0.00044667878,0.0025193251,1.7878602
5434.584,10.581029,-0.013209829,1950.0,1950.0,83.476456,0.0004468675,0.0025203896,1.7886155
5434.7363,11.159474,-0.01333283,1950.0,1950.0,89.37261,0.0004468675,0.0025203896,1.7886155
5434.8887,10.612743,-0.012882622,1950.0,1950.0,95.75498,0.0004468675,0.0025203896,1.7886155
5435.041,10.076321,-0.012474647,1950.0,1950.0,103.30251,0.0004468675,0.0025203896,1.7886155
5435.194,10.530277,-0.01214208,1950.0,1950.0,113.57172,0.0004468675,0.0025203896,1.7886155
5435.346,10.897464,-0.011823752,1950.0,1950.0,122.51878,0.00044667878,0.0025193251,1.7878602
5435.4985,11.625446,-0.012089304,1950.0,1950.0,129.31006,0.00044667878,0.0025193251,1.7878602
5435.651,11.135758,-0.0122903045,1950.0,1950.0,134.82153,0.0004465844,0.002518793,1.7874826
5435.803,10.789195,-0.01303819,1950.0,1950.0,139.57924,0.0004465844,0.002518793,1.7874826
5435.9556,10.3554125,-0.013105497,1950.0,1950.0,145.02525,0.00044677308,0.0025198571,1.7882377
5436.108,10.174727,-0.012843459,1950.0,1950.0,152.0656,0.00044677308,0.0025198571,1.7882377
5436.2603,10.593845,-0.011668516,1950.0,1950.0,161.57234,0.00044667878,0.0025193251,1.7878602
5436.4126,10.677903,-0.010718822,1950.0,1950.0,173.54828,0.0004468675,0.0025203896,1.7886155
5436.5654,9.912075,-0.01025276,1950.0,1950.0,187.46367,0.0004468675,0.0025203896,1.7886155
5436.718,9.7506695,-0.010621751,1950.0,1950.0,201.8046,0.0004468675,0.0025203896,1.7886155
5436.87,9.7506695,-0.010834288,1950.0,1950.0,214.26718,0.00044667878,0.0025193251,1.7878602
5437.0225,10.613597,-0.010788117,1950.0,1950.0,220.87053,0.00044677308,0.0025198571,1.7882377
5437.175,10.570231,-0.010001217,1950.0,1950.0,217.45813,0.00044667878,0.0025193251,1.7878602
5437.327,10.576164,-0.00945578,1950.0,1950.0,201.28363,0.00044667878,0.0025193251,1.7878602
5437.4795,11.339452,-0.00831492,1950.0,1950.0,175.60762,0.00044667878,0.0025193251,1.7878602
5437.632,11.64992,-0.007816652,1950.0,1950.0,146.70201,0.0004468675,0.0025203896,1.7886155
5437.7847,11.823898,-0.006457696,1950.0,1950.0,120.024414,0.0004468675,0.0025203896,1.7886155
5437.937,10.249572,-0.0056105643,1950.0,1950.0,98.31256,0.0004468675,0.0025203896,1.7886155
5438.0894,9.824215,-0.0050697774,1950.0,1950.0,83.00782,0.00044677308,0.0025198571,1.7882377
5438.2417,9.728361,-0.0050981767,1950.0,1950.0,70.85445,0.00044677308,0.0025198571,1.7882377
5438.394,9.726799,-0.0052191303,1950.0,1950.0,61.17152,0.00044677308,0.0025198571,1.7882377
5438.5464,10.439099,-0.005152967,1950.0,1950.0,59.336334,0.00044677308,0.0025198571,1.7882377
5438.6987,10.544722,-0.004198073,1950.0,1950.0,54.698036,0.00044667878,0.0025193251,1.7878602
5438.851,11.100476,-0.0028753646,1950.0,1950.0,54.347637,0.0004468675,0.0025203896,1.7886155
5439.0034,10.763371,-0.0016886246,1950.0,1950.0,49.495785,0.0004468675,0.0025203896,1.7886155
5439.1562,11.001857,-0.00024142278,1950.0,1950.0,43.002674,0.0004468675,0.0025203896,1.7886155
5439.3086,11.532207,0.0022152662,1950.0,1950.0,60.829014,0.0004468675,0.0025203896,1.7886155
5439.461,11.77758,0.0050858157,1950.0,1950.0,49.1849,0.00044677308,0.0025198571,1.7882377
5439.6133,11.362216,0.0067889676,1950.0,1950.0,49.053947,0.00044677308,0.0025198571,1.7882377
5439.7656,10.597333,0.0076986807,1950.0,1950.0,51.37993,0.0004469619,0.0025209219,1.7889934
5439.918,9.933479,0.00808708,1950.0,1950.0,58.878147,0.0004469619,0.0025209219,1.7889934
5440.0703,10.407921,0.010751071,1950.0,1950.0,67.180885,0.0004469619,0.0025209219,1.7889934
5440.2227,10.20194,0.013268468,1950.0,1950.0,58.473858,0.0004468675,0.0025203896,1.7886155
5440.375,10.679606,0.021066407,1950.0,1950.0,49.73844,0.0004468675,0.0025203896,1.7886155
5440.528,9.654408,0.03183907,1950.0,1950.0,51.920746,0.0004468675,0.0025203896,1.7886155
5440.68,10.090011,0.04915445,1950.0,1950.0,70.73868,0.0004468675,0.0025203896,1.7886155
5440.8325,10.066055,0.057001613,1950.0,1950.0,86.12572,0.0004468675,0.0025203896,1.7886155
5440.985,10.672878,0.06457488,1950.0,1950.0,92.38898,0.00044677308,0.0025198571,1.7882377
5441.137,10.867795,0.06824713,1950.0,1950.0,97.01384,0.0004468372,0.002520219,1.7884943
5441.2896,10.614333,0.06883516,1950.0,1950.0,101.67057,0.0004468372,0.002520219,1.7884943
5441.442,10.588851,0.068104774,1950.0,1950.0,104.884186,0.0004469619,0.0025209219,1.7889934
5441.594,10.328106,0.064788215,1950.0,1950.0,102.84791,0.0004469619,0.0025209219,1.7889934
5441.747,11.105023,0.067844056,1950.0,1950.0,97.37976,0.0004469619,0.0025209219,1.7889934
5441.8994,11.01506,0.07594262,1950.0,1950.0,86.79986,0.0004469619,0.0025209219,1.7889934
5442.052,10.480928,0.094040014,1950.0,1950.0,76.96071,0.0004468675,0.0025203896,1.7886155
5442.204,9.835941,0.108874775,1950.0,1950.0,69.041115,0.0004468675,0.0025203896,1.7886155
5442.3564,9.79846,0.116888136,1950.0,1950.0,58.352333,0.0004468675,0.0025203896,1.7886155
5442.509,10.849591,0.10771282,1950.0,1950.0,47.328274,0.0004468675,0.0025203896,1.7886155
5442.661,11.121926,0.09212546,1950.0,1950.0,46.204205,0.0004468675,0.0025203896,1.7886155
5442.8135,11.878444,0.07746115,1950.0,1950.0,48.776455,0.0004469619,0.0025209219,1.7889934
5442.966,11.43081,0.072562344,1950.0,1950.0,47.701412,0.00044677308,0.0025198571,1.7882377
5443.1187,11.477307,0.070149265,1950.0,1950.0,46.21088,0.0004469619,0.0025209219,1.7889934
5443.271,10.514421,0.072036386,1950.0,1950.0,37.31099,0.0004469619,0.0025209219,1.7889934
5443.4233,10.36316,0.06792528,1950.0,1950.0,49.10472,0.0004469619,0.0025209219,1.7889934
5443.5757,9.620662,0.07075423,1950.0,1950.0,60.87022,0.00044677308,0.0025198571,1.7882377
