DEPTH,k,phi,GR,AT90,RHOZ,NPHI,DTCO,PEFZ,NMRFF,NMREFF,NMRTOT
5751.7285,94.5,16.1,29.094828,524.3118,2.4271379,0.17025247,66.389565,5.429612,0.0012874514,0.0014957237,0.0015361191
5752.033,8.64,13.9,29.483213,904.95386,2.4128706,0.16045812,66.16528,5.4590683,0.0012756708,0.0014587512,0.0014622089
5752.338,9.2,12.6,35.90658,585.74146,2.3806999,0.15137218,67.898254,5.5455103,0.001443971,0.0017618432,0.0017825145
5752.49,4.18,13.9,35.066006,532.1955,2.3785777,0.15982479,68.194984,5.533633,0.0014840472,0.0017284212,0.0017686165
5752.643,0.12,11.4,33.589554,552.44727,2.3856394,0.17024507,68.28284,5.41268,0.0016352072,0.0017833418,0.0018792418
5753.2524,1.37,8.3,23.27726,203.19028,2.4323037,0.17052333,64.639206,4.4269085,0.0012736826,0.0013576096,0.001435514
5753.7095,4.04,12.2,35.01556,137.77066,2.5324159,0.081386834,58.47423,4.460734,0.000736784,0.0008722408,0.0008855938
5753.862,0.754,12.7,39.847443,106.18185,2.5513494,0.088005766,58.523327,4.6803584,0.0007212121,0.00088048785,0.0008916398
5754.0146,69.7,19.8,40.44389,105.53337,2.5598702,0.106133156,58.11874,4.7732944,0.00082772976,0.0009851486,0.0010389403
5754.3193,4.2,14.5,34.2888,143.29059,2.5487142,0.12810516,59.38549,4.6228995,0.00096555235,0.0011241359,0.001164085
5754.624,46.5,12.9,31.38816,180.39522,2.5159488,0.14026979,62.007057,4.5755353,0.0011939784,0.0013422191,0.0013422573
5754.9287,43.3,15.5,30.83426,238.88103,2.52455,0.13347816,61.088898,4.3406067,0.00090334937,0.001131276,0.0011585539
5755.2334,5.13,13.3,29.434122,310.78964,2.5791473,0.086776815,58.430378,3.7696104,0.0006235448,0.0008848458,0.00093219633
5755.5386,0.181,3.3,34.59718,252.51608,2.6194062,0.03289964,53.608177,3.5624166,0.00048682184,0.0007207199,0.0007513184
5755.8433,0.214,6.2,46.41237,249.75217,2.5840616,0.062143296,54.484676,4.330511,0.00078121247,0.0009493336,0.0010383815
5756.148,0.0,1.3,35.421753,261.84152,2.5506437,0.107833676,58.307537,4.699136,0.0010321443,0.0013136552,0.001313696
5756.4526,0.0,1.5,26.717178,304.51523,2.5027459,0.14385307,61.268517,4.7287846,0.0010996114,0.0013410817,0.0013412157
5756.91,0.001,2.9,18.583015,243.24973,2.4823062,0.16947755,63.306488,4.5333176,0.0012270878,0.0013613361,0.0013613744
5757.0625,0.002,4.2,18.963938,276.99466,2.4780445,0.16046476,62.88622,4.5781984,0.001133036,0.0013508487,0.001361979
5757.367,36.5,16.5,19.963987,375.61932,2.470597,0.13472685,63.162712,4.722562,0.001195077,0.0014319296,0.0014470576
5757.672,8.17,12.1,21.971292,713.5275,2.4847548,0.15236953,63.45898,4.6277475,0.0013040806,0.0014735794,0.0014745176
5757.824,2.25,14.8,20.431862,905.8689,2.5041678,0.14023928,63.594807,4.4549265,0.0010862157,0.0012860456,0.0013536535
5757.977,201.0,15.4,19.210114,407.8809,2.5198307,0.11561114,62.40015,4.386757,0.0007676355,0.0009959326,0.0011782644
5758.2817,19.3,13.6,20.594934,209.53433,2.5830617,0.07646624,58.67838,4.648122,0.0004450348,0.00073305995,0.0009888067
5758.739,3.97,13.1,25.669456,64.835434,2.672079,0.066843726,55.01712,4.870309,0.0003126491,0.000496145,0.0004994996
5758.891,1.03,10.1,22.788475,92.372665,2.6858964,0.07164857,54.6995,4.841199,0.0003126491,0.000496145,0.0004994996
5759.0435,0.0,2.7,19.032875,105.188774,2.6905093,0.05681581,53.259228,4.8110433,0.0003608067,0.0005266397,0.0005755937
5759.3486,0.198,5.9,21.165419,36.987576,2.6666203,0.061166134,54.275833,4.8097844,0.0005213305,0.0007491872,0.0007911268
5759.6533,0.0,2.6,29.895067,63.32092,2.6397064,0.085741416,54.51024,4.774508,0.000816332,0.001065412,0.0010845283
5759.8057,0.0,3.2,30.515686,115.162834,2.6028078,0.09437285,54.70464,4.828509,0.00111479,0.0013023629,0.0013027691
5759.958,0.001,3.8,30.61499,140.32088,2.552629,0.11434041,57.001408,4.9298944,0.0012378329,0.001379565,0.0014164475
5760.2627,0.765,11.8,29.604668,171.99092,2.4866505,0.14507563,62.93301,5.1405473,0.0011817636,0.001328838,0.0014107854
5760.72,0.0,1.5,23.329473,489.69366,2.4821842,0.15563934,63.0465,5.10114,0.0011208673,0.0014016746,0.001401884
5760.8726,0.003,5.3,20.644985,384.54282,2.4914925,0.15666074,63.036354,4.9853783,0.0010598387,0.0014343465,0.0014343847
5761.1772,0.003,4.4,17.808691,337.54163,2.511897,0.16172667,61.990612,4.679301,0.0010599114,0.001434445,0.0014344832
5761.482,0.003,3.8,23.236969,116.0974,2.5372798,0.14143434,60.61713,4.7349052,0.0006672597,0.0010887446,0.0011110012
5761.7866,0.013,3.3,24.385048,100.89963,2.6103086,0.09061906,57.308876,4.7634106,0.00039881424,0.0006157247,0.00062260963
5762.092,0.821,11.6,28.862288,42.171246,2.6329193,0.06716153,55.051533,4.752646,0.00039882748,0.0006157452,0.0006226303
5762.3965,4.57,16.2,28.154078,35.294758,2.6625621,0.0800301,54.805466,4.636618,0.0004849035,0.0006619162,0.00083901355
5762.8535,5.1,11.0,29.108526,52.292694,2.6526053,0.08494482,55.89459,4.767064,0.00068094017,0.0011159779,0.0012371286
5763.6157,1.05,11.9,65.09054,21.75446,2.642909,0.06033772,56.65613,4.7591343,0.00011999247,0.0005295069,0.00061535806
5763.9204,15.2,15.8,69.32103,16.047169,2.638884,0.060893264,56.623425,4.995039,0.00011393778,0.000336809,0.00062414183
5764.225,59.2,14.3,64.66842,16.78144,2.6485116,0.05496757,56.82821,5.1254544,0.0001139247,0.00033677035,0.00062407024
5764.3774,15.3,17.3,64.61823,19.568573,2.6588762,0.0680727,56.65688,5.1037607,0.00041409806,0.00062750606,0.00093318726
5764.6826,14.3,14.3,58.77211,30.987713,2.62964,0.11890899,58.28504,4.894025,0.0008314079,0.0010085469,0.0010951766
5764.9873,19.8,17.1,41.794903,83.03562,2.5477579,0.16400293,59.126305,4.6269603,0.00082080223,0.0009212017,0.0009501473
5765.1396,24.7,17.7,39.76308,86.06394,2.5679984,0.13883221,57.09953,4.6865516,0.00075712823,0.00083525,0.0008352883
5765.292,76.9,19.5,43.549,94.02751,2.5961206,0.095494136,56.29865,4.8708086,0.000757091,0.000835209,0.00083524716
5765.5967,20.2,17.2,41.99558,102.33312,2.5470839,0.09003759,60.26698,5.4576015,0.0007901887,0.0008603401,0.0009284152
5765.902,107.0,14.3,44.869064,132.69145,2.541557,0.090318464,57.18847,5.7760253,0.0008694812,0.0009317986,0.0011129926
5766.2065,28.9,14.5,42.9446,266.53195,2.5901272,0.07946847,58.48845,5.5141993,0.001358991,0.0016191783,0.0016912372
5766.6636,45.3,15.3,27.378092,434.56076,2.451774,0.13924183,66.06571,5.3810425,0.0014726672,0.0018303329,0.0018305064
5766.816,259.0,6.9,21.66297,509.62268,2.4175403,0.14904062,67.16198,5.3340273,0.0015383105,0.0019490705,0.0019491088
5767.1206,0.704,6.3,18.399744,802.7168,2.37903,0.15824565,68.455055,5.4395204,0.0016334614,0.0019855911,0.001985711
5767.426,0.002,7.0,20.1755,889.1602,2.3598287,0.1722205,70.14927,5.5790343,0.0016672671,0.0019483236,0.0019483618
5767.7305,0.014,4.6,19.605247,807.2165,2.3750744,0.17489944,69.17631,5.565367,0.0015297392,0.0018417952,0.0018419912
5768.035,0.008,9.7,23.833115,419.63287,2.3771,0.18064813,69.0158,5.545152,0.0014498632,0.0017672797,0.0017673178
5768.1875,0.018,10.1,25.961487,333.97086,2.3746557,0.18427849,69.2117,5.548656,0.0013678443,0.0016015277,0.0016318102
5768.34,0.024,10.1,29.083853,247.89128,2.3749092,0.17723307,69.22515,5.5298867,0.001367911,0.0016016056,0.0016318896
5768.9497,0.013,10.0,27.025167,133.45757,2.4175835,0.18014345,67.046776,4.6977863,0.001195697,0.001464598,0.0015687066
5769.102,0.218,12.6,27.684332,123.180405,2.4141705,0.18531503,66.86826,4.5026298,0.0013613133,0.0016376853,0.0017820889
5769.4067,0.903,13.4,27.425219,93.5783,2.3986802,0.16597095,65.47242,4.439067,0.0013373942,0.0015486074,0.001660579
5769.7114,0.071,10.6,29.24513,112.91914,2.4029171,0.11119407,65.27712,4.926106,0.0013375595,0.0015487986,0.0016607842
5770.0166,0.025,12.4,32.083153,43.089897,2.4417145,0.07478267,62.887848,5.2875924,0.00060149474,0.0007341655,0.00073420367
5770.169,1.1,12.8,39.441555,22.612331,2.4957306,0.06723804,60.87477,5.0912724,0.00048063652,0.0006032593,0.0006035472
5770.4736,15.0,19.6,64.23435,21.297667,2.61014,0.05931376,58.494923,4.6300387,0.0004922717,0.000600189,0.0006002272
5770.626,30.0,19.0,67.55124,21.75753,2.6316116,0.052899502,57.04197,4.4907894,0.0006120326,0.0007150825,0.00078568934
5771.083,18.1,17.9,72.502945,10.495197,2.5679464,0.1089921,60.972805,3.9171283,0.0007387183,0.0008545557,0.001020598
5771.388,69.0,15.1,97.51611,7.7542777,2.523666,0.11399311,63.069,3.775608,0.00085187773,0.0011607689,0.0013195605
5771.693,209.0,16.0,96.14335,7.4473286,2.5338762,0.13943961,62.971947,3.8340175,0.0008958198,0.0011464927,0.0012880123
5771.9976,1013.0,14.5,57.44627,17.220016,2.5422134,0.14980361,60.066563,4.186291,0.00090097165,0.0011802503,0.001288514
5772.3022,112.0,17.1,59.435776,12.762499,2.507755,0.11498271,63.157124,4.141246,0.00090034254,0.0011464984,0.0012236587
5772.6074,93.1,19.6,85.41629,12.859351,2.4582975,0.17559454,64.6423,3.9544911,0.001047782,0.0012553493,0.0012626827
5772.76,59.2,13.7,66.87595,18.261648,2.4363458,0.18445587,64.89215,4.1509576,0.0013106744,0.0014882494,0.001488595
5772.912,0.007,10.7,41.87895,20.733778,2.4096181,0.18363926,64.69379,4.5020123,0.0016355993,0.0018154237,0.0018154618
5773.0645,110.0,21.8,22.699371,24.404514,2.3735836,0.17880157,68.34592,4.9219065,0.0015931049,0.0018162141,0.0018162521
5773.5215,38.0,23.5,25.734243,43.481148,2.359587,0.20044003,70.68596,5.532597,0.0014470572,0.0016490443,0.0016490826
5773.674,35.1,25.0,29.158632,45.524258,2.3791804,0.1840188,68.91621,5.520103,0.0013818821,0.0015211642,0.0015212023
5773.8267,26.1,23.9,30.382593,45.976578,2.403353,0.16357481,66.85042,5.478941,0.0014422773,0.001544787,0.0015448559
